permutation,BFS_Sequential_Steps,BFS_Parallel_Steps,Batcher_Comparators_Only,OddEven_Sequential_Steps,OddEven_Parallel_Steps,Bitonic_Sequential_Steps,Greedy_Beam_Search_Steps
"[0, 1, 2, 5, 6, 4, 3, 7]",5,4,9,13,13,9,8
"[0, 1, 2, 5, 6, 4, 7, 3]",4,3,8,14,13,8,3
"[0, 1, 2, 5, 6, 7, 3, 4]",4,3,8,10,9,8,8
"[0, 1, 2, 5, 6, 7, 4, 3]",3,2,7,11,10,7,2
"[0, 1, 2, 5, 7, 3, 4, 6]",5,3,11,13,13,11,5
"[0, 1, 2, 5, 7, 3, 6, 4]",4,3,10,14,13,10,16
"[0, 1, 2, 5, 7, 4, 3, 6]",4,3,10,14,13,10,7
"[0, 1, 2, 5, 7, 4, 6, 3]",3,2,9,15,13,9,2
"[0, 1, 2, 5, 7, 6, 3, 4]",5,3,9,11,10,9,8
"[0, 1, 2, 5, 7, 6, 4, 3]",4,2,8,12,10,8,3
"[0, 1, 2, 6, 3, 4, 5, 7]",5,3,9,11,11,9,4
"[0, 1, 2, 6, 3, 4, 7, 5]",4,3,8,12,12,8,9
"[0, 1, 2, 6, 3, 5, 4, 7]",4,3,8,14,14,8,3
"[0, 1, 2, 6, 3, 5, 7, 4]",5,3,7,15,15,7,9
"[0, 1, 2, 6, 3, 7, 4, 5]",5,3,9,15,15,9,3
"[0, 1, 2, 6, 3, 7, 5, 4]",6,3,8,16,16,8,3
"[0, 1, 2, 6, 4, 3, 5, 7]",4,4,10,12,12,10,16
"[0, 1, 2, 6, 4, 3, 7, 5]",3,3,9,13,12,9,7
"[0, 1, 2, 6, 4, 5, 3, 7]",3,3,7,15,15,7,6
"[0, 1, 2, 6, 4, 5, 7, 3]",2,2,6,16,16,6,2
"[0, 1, 2, 6, 4, 7, 3, 5]",4,3,8,16,15,8,3
"[0, 1, 2, 6, 4, 7, 5, 3]",3,3,7,17,16,7,7
"[0, 1, 2, 6, 5, 3, 4, 7]",5,4,9,15,15,9,8
"[0, 1, 2, 6, 5, 3, 7, 4]",4,3,8,16,15,8,8
"[0, 1, 2, 6, 5, 4, 3, 7]",4,3,8,16,16,8,7
"[0, 1, 2, 6, 5, 4, 7, 3]",3,2,7,17,16,7,2
"[0, 1, 2, 6, 5, 7, 3, 4]",5,3,7,13,12,7,4
"[0, 1, 2, 6, 5, 7, 4, 3]",4,3,6,14,13,6,3
"[0, 1, 2, 6, 7, 3, 4, 5]",4,3,10,16,16,10,7
"[0, 1, 2, 6, 7, 3, 5, 4]",5,3,9,17,16,9,8
"[0, 1, 2, 6, 7, 4, 3, 5]",5,3,9,17,16,9,5
"[0, 1, 2, 6, 7, 4, 5, 3]",4,2,8,18,16,8,3
"[0, 1, 2, 6, 7, 5, 3, 4]",4,3,8,14,13,8,20
"[0, 1, 2, 6, 7, 5, 4, 3]",3,2,7,15,13,7,2
"[0, 1, 2, 7, 3, 4, 5, 6]",4,3,8,12,12,8,3
"[0, 1, 2, 7, 3, 4, 6, 5]",3,3,7,13,13,7,7
"[0, 1, 2, 7, 3, 5, 4, 6]",3,3,7,15,14,7,7
"[0, 1, 2, 7, 3, 5, 6, 4]",4,3,6,16,15,6,7
"[0, 1, 2, 7, 3, 6, 4, 5]",4,3,8,16,15,8,3
"[0, 1, 2, 7, 3, 6, 5, 4]",5,3,7,17,16,7,3
"[0, 1, 2, 7, 4, 3, 5, 6]",3,3,9,13,13,9,7
"[0, 1, 2, 7, 4, 3, 6, 5]",2,2,8,14,13,8,2
"[0, 1, 2, 7, 4, 5, 3, 6]",2,2,6,16,15,6,2
"[0, 1, 2, 7, 4, 5, 6, 3]",1,1,5,17,16,5,1
"[0, 1, 2, 7, 4, 6, 3, 5]",3,3,7,17,15,7,7
"[0, 1, 2, 7, 4, 6, 5, 3]",4,3,6,18,16,6,3
"[0, 1, 2, 7, 5, 3, 4, 6]",4,3,8,16,15,8,4
"[0, 1, 2, 7, 5, 3, 6, 4]",3,2,7,17,15,7,2
"[0, 1, 2, 7, 5, 4, 3, 6]",3,2,7,17,16,7,2
"[0, 1, 2, 7, 5, 4, 6, 3]",2,1,6,18,16,6,1
"[0, 1, 2, 7, 5, 6, 3, 4]",4,2,6,14,13,6,2
"[0, 1, 2, 7, 5, 6, 4, 3]",3,2,5,15,14,5,2
"[0, 1, 2, 7, 6, 3, 4, 5]",3,2,9,17,16,9,2
"[0, 1, 2, 7, 6, 3, 5, 4]",4,2,8,18,16,8,2
"[0, 1, 2, 7, 6, 4, 3, 5]",4,3,8,18,16,8,4
"[0, 1, 2, 7, 6, 4, 5, 3]",3,2,7,19,16,7,2
"[0, 1, 2, 7, 6, 5, 3, 4]",3,2,7,15,14,7,2
"[0, 1, 2, 7, 6, 5, 4, 3]",2,1,6,16,14,6,1
"[0, 1, 3, 2, 4, 5, 6, 7]",1,1,9,1,1,9,1
"[0, 1, 3, 2, 4, 5, 7, 6]",2,1,8,2,1,8,1
"[0, 1, 3, 2, 4, 6, 5, 7]",4,3,8,4,4,8,7
"[0, 1, 3, 2, 4, 6, 7, 5]",3,2,7,5,4,7,2
"[0, 1, 3, 2, 4, 7, 5, 6]",3,2,9,5,5,9,2
"[0, 1, 3, 2, 4, 7, 6, 5]",2,1,8,6,5,8,1
"[0, 1, 3, 2, 5, 4, 6, 7]",2,1,10,2,1,10,1
"[0, 1, 3, 2, 5, 4, 7, 6]",3,1,9,3,1,9,1
"[0, 1, 3, 2, 5, 6, 4, 7]",3,2,7,5,5,7,2
"[0, 1, 3, 2, 5, 6, 7, 4]",4,2,6,6,5,6,2
"[0, 1, 3, 2, 5, 7, 4, 6]",4,3,8,6,5,8,7
"[0, 1, 3, 2, 5, 7, 6, 4]",3,2,7,7,5,7,2
"[0, 1, 3, 2, 6, 4, 5, 7]",3,2,9,5,4,9,2
"[0, 1, 3, 2, 6, 4, 7, 5]",4,3,8,6,4,8,7
"[0, 1, 3, 2, 6, 5, 4, 7]",2,1,8,6,5,8,1
"[0, 1, 3, 2, 6, 5, 7, 4]",3,2,7,7,5,7,2
"[0, 1, 3, 2, 6, 7, 4, 5]",3,1,7,3,2,7,1
"[0, 1, 3, 2, 6, 7, 5, 4]",4,2,6,4,2,6,2
"[0, 1, 3, 2, 7, 4, 5, 6]",4,2,10,6,5,10,2
"[0, 1, 3, 2, 7, 4, 6, 5]",3,2,9,7,5,9,2
"[0, 1, 3, 2, 7, 5, 4, 6]",3,2,9,7,5,9,2
"[0, 1, 3, 2, 7, 5, 6, 4]",4,3,8,8,5,8,7
"[0, 1, 3, 2, 7, 6, 4, 5]",4,2,8,4,2,8,2
"[0, 1, 3, 2, 7, 6, 5, 4]",5,2,7,5,2,7,2
"[0, 1, 3, 4, 2, 5, 6, 7]",4,3,12,8,8,12,3
"[0, 1, 3, 4, 2, 5, 7, 6]",5,3,11,9,9,11,3
"[0, 1, 3, 4, 2, 6, 5, 7]",5,3,11,11,11,11,4
"[0, 1, 3, 4, 2, 6, 7, 5]",6,3,10,12,12,10,8
"[0, 1, 3, 4, 2, 7, 5, 6]",6,3,12,12,12,12,3
"[0, 1, 3, 4, 2, 7, 6, 5]",5,3,11,13,13,11,3
"[0, 1, 3, 4, 5, 2, 6, 7]",5,4,13,9,9,13,7
"[0, 1, 3, 4, 5, 2, 7, 6]",6,4,12,10,9,12,7
"[0, 1, 3, 4, 5, 6, 2, 7]",4,3,10,12,12,10,3
"[0, 1, 3, 4, 5, 6, 7, 2]",5,3,9,13,13,9,3
"[0, 1, 3, 4, 5, 7, 2, 6]",5,3,11,13,12,11,19
"[0, 1, 3, 4, 5, 7, 6, 2]",4,3,10,14,13,10,8
"[0, 1, 3, 4, 6, 2, 5, 7]",6,3,12,12,12,12,9
"[0, 1, 3, 4, 6, 2, 7, 5]",5,3,11,13,12,11,19
"[0, 1, 3, 4, 6, 5, 2, 7]",3,3,11,13,13,11,7
"[0, 1, 3, 4, 6, 5, 7, 2]",4,3,10,14,13,10,3
"[0, 1, 3, 4, 6, 7, 2, 5]",4,3,10,10,9,10,7
"[0, 1, 3, 4, 6, 7, 5, 2]",5,3,9,11,10,9,4
"[0, 1, 3, 4, 7, 2, 5, 6]",7,3,13,13,13,13,8
"[0, 1, 3, 4, 7, 2, 6, 5]",6,3,12,14,13,12,8
"[0, 1, 3, 4, 7, 5, 2, 6]",4,3,12,14,13,12,9
"[0, 1, 3, 4, 7, 5, 6, 2]",5,3,11,15,13,11,4
"[0, 1, 3, 4, 7, 6, 2, 5]",5,3,11,11,10,11,4
"[0, 1, 3, 4, 7, 6, 5, 2]",6,3,10,12,10,10,3
"[0, 1, 3, 5, 2, 4, 6, 7]",5,4,11,11,8,11,4
"[0, 1, 3, 5, 2, 4, 7, 6]",6,3,10,12,9,10,4
"[0, 1, 3, 5, 2, 6, 4, 7]",6,4,10,14,11,10,8
"[0, 1, 3, 5, 2, 6, 7, 4]",7,4,9,15,12,9,4
"[0, 1, 3, 5, 2, 7, 4, 6]",5,3,11,15,12,11,4
"[0, 1, 3, 5, 2, 7, 6, 4]",6,4,10,16,13,10,8
"[0, 1, 3, 5, 4, 2, 6, 7]",4,3,12,12,9,12,7
"[0, 1, 3, 5, 4, 2, 7, 6]",5,3,11,13,9,11,7
"[0, 1, 3, 5, 4, 6, 2, 7]",5,4,9,15,12,9,8
"[0, 1, 3, 5, 4, 6, 7, 2]",4,3,8,16,13,8,8
"[0, 1, 3, 5, 4, 7, 2, 6]",4,3,10,16,12,10,4
"[0, 1, 3, 5, 4, 7, 6, 2]",3,2,9,17,13,9,2
"[0, 1, 3, 5, 6, 2, 4, 7]",5,3,11,15,12,11,7
"[0, 1, 3, 5, 6, 2, 7, 4]",6,3,10,16,12,10,6
"[0, 1, 3, 5, 6, 4, 2, 7]",4,4,10,16,13,10,8
"[0, 1, 3, 5, 6, 4, 7, 2]",5,3,9,17,13,9,4
"[0, 1, 3, 5, 6, 7, 2, 4]",5,3,9,13,9,9,8
"[0, 1, 3, 5, 6, 7, 4, 2]",4,2,8,14,10,8,2
"[0, 1, 3, 5, 7, 2, 4, 6]",6,3,12,16,13,12,10
"[0, 1, 3, 5, 7, 2, 6, 4]",5,3,11,17,13,11,4
"[0, 1, 3, 5, 7, 4, 2, 6]",5,3,11,17,13,11,8
"[0, 1, 3, 5, 7, 4, 6, 2]",4,2,10,18,13,10,2
"[0, 1, 3, 5, 7, 6, 2, 4]",6,3,10,14,10,10,8
"[0, 1, 3, 5, 7, 6, 4, 2]",5,2,9,15,10,9,3
"[0, 1, 3, 6, 2, 4, 5, 7]",4,2,10,14,11,10,2
"[0, 1, 3, 6, 2, 4, 7, 5]",5,3,9,15,12,9,8
"[0, 1, 3, 6, 2, 5, 4, 7]",3,2,9,17,14,9,2
"[0, 1, 3, 6, 2, 5, 7, 4]",4,3,8,18,15,8,7
"[0, 1, 3, 6, 2, 7, 4, 5]",4,2,10,18,15,10,2
"[0, 1, 3, 6, 2, 7, 5, 4]",5,2,9,19,16,9,2
"[0, 1, 3, 6, 4, 2, 5, 7]",5,3,11,15,12,11,9
"[0, 1, 3, 6, 4, 2, 7, 5]",4,3,10,16,12,10,3
"[0, 1, 3, 6, 4, 5, 2, 7]",2,2,8,18,15,8,2
"[0, 1, 3, 6, 4, 5, 7, 2]",3,2,7,19,16,7,2
"[0, 1, 3, 6, 4, 7, 2, 5]",3,2,9,19,15,9,2
"[0, 1, 3, 6, 4, 7, 5, 2]",4,2,8,20,16,8,2
"[0, 1, 3, 6, 5, 2, 4, 7]",4,3,10,18,15,10,3
"[0, 1, 3, 6, 5, 2, 7, 4]",5,3,9,19,15,9,3
"[0, 1, 3, 6, 5, 4, 2, 7]",3,2,9,19,16,9,2
"[0, 1, 3, 6, 5, 4, 7, 2]",4,2,8,20,16,8,2
"[0, 1, 3, 6, 5, 7, 2, 4]",4,2,8,16,12,8,2
"[0, 1, 3, 6, 5, 7, 4, 2]",5,3,7,17,13,7,8
"[0, 1, 3, 6, 7, 2, 4, 5]",5,3,11,19,16,11,3
"[0, 1, 3, 6, 7, 2, 5, 4]",6,3,10,20,16,10,3
"[0, 1, 3, 6, 7, 4, 2, 5]",4,2,10,20,16,10,2
"[0, 1, 3, 6, 7, 4, 5, 2]",5,2,9,21,16,9,2
"[0, 1, 3, 6, 7, 5, 2, 4]",5,3,9,17,13,9,9
"[0, 1, 3, 6, 7, 5, 4, 2]",4,2,8,18,13,8,3
"[0, 1, 3, 7, 2, 4, 5, 6]",5,3,9,15,12,9,4
"[0, 1, 3, 7, 2, 4, 6, 5]",4,4,8,16,13,8,4
"[0, 1, 3, 7, 2, 5, 4, 6]",4,3,8,18,14,8,3
"[0, 1, 3, 7, 2, 5, 6, 4]",5,4,7,19,15,7,8
"[0, 1, 3, 7, 2, 6, 4, 5]",5,3,9,19,15,9,3
"[0, 1, 3, 7, 2, 6, 5, 4]",6,3,8,20,16,8,3
"[0, 1, 3, 7, 4, 2, 5, 6]",4,3,10,16,13,10,9
"[0, 1, 3, 7, 4, 2, 6, 5]",3,3,9,17,13,9,7
"[0, 1, 3, 7, 4, 5, 2, 6]",3,3,7,19,15,7,6
"[0, 1, 3, 7, 4, 5, 6, 2]",2,2,6,20,16,6,2
"[0, 1, 3, 7, 4, 6, 2, 5]",4,3,8,20,15,8,3
"[0, 1, 3, 7, 4, 6, 5, 2]",5,3,7,21,16,7,4
"[0, 1, 3, 7, 5, 2, 4, 6]",5,3,9,19,15,9,19
"[0, 1, 3, 7, 5, 2, 6, 4]",4,3,8,20,15,8,4
"[0, 1, 3, 7, 5, 4, 2, 6]",4,3,8,20,16,8,7
"[0, 1, 3, 7, 5, 4, 6, 2]",3,2,7,21,16,7,2
"[0, 1, 3, 7, 5, 6, 2, 4]",5,3,7,17,13,7,8
"[0, 1, 3, 7, 5, 6, 4, 2]",4,2,6,18,14,6,2
"[0, 1, 3, 7, 6, 2, 4, 5]",4,3,10,20,16,10,7
"[0, 1, 3, 7, 6, 2, 5, 4]",5,3,9,21,16,9,8
"[0, 1, 3, 7, 6, 4, 2, 5]",5,3,9,21,16,9,19
"[0, 1, 3, 7, 6, 4, 5, 2]",4,2,8,22,16,8,2
"[0, 1, 3, 7, 6, 5, 2, 4]",4,3,8,18,14,8,4
"[0, 1, 3, 7, 6, 5, 4, 2]",3,2,7,19,14,7,2
"[0, 1, 4, 2, 3, 5, 6, 7]",4,3,10,6,6,10,7
"[0, 1, 4, 2, 3, 5, 7, 6]",5,3,9,7,6,9,7
"[0, 1, 4, 2, 3, 6, 5, 7]",5,3,9,9,9,9,4
"[0, 1, 4, 2, 3, 6, 7, 5]",6,3,8,10,9,8,6
"[0, 1, 4, 2, 3, 7, 5, 6]",6,3,10,10,10,10,6
"[0, 1, 4, 2, 3, 7, 6, 5]",5,3,9,11,10,9,7
"[0, 1, 4, 2, 5, 3, 6, 7]",5,4,11,7,6,11,4
"[0, 1, 4, 2, 5, 3, 7, 6]",6,3,10,8,6,10,4
"[0, 1, 4, 2, 5, 6, 3, 7]",4,2,8,10,10,8,2
"[0, 1, 4, 2, 5, 6, 7, 3]",5,3,7,11,10,7,8
"[0, 1, 4, 2, 5, 7, 3, 6]",5,3,9,11,10,9,4
"[0, 1, 4, 2, 5, 7, 6, 3]",4,4,8,12,10,8,4
"[0, 1, 4, 2, 6, 3, 5, 7]",6,4,10,10,9,10,8
"[0, 1, 4, 2, 6, 3, 7, 5]",5,3,9,11,9,9,4
"[0, 1, 4, 2, 6, 5, 3, 7]",3,2,9,11,10,9,2
"[0, 1, 4, 2, 6, 5, 7, 3]",4,3,8,12,10,8,4
"[0, 1, 4, 2, 6, 7, 3, 5]",4,2,8,8,7,8,2
"[0, 1, 4, 2, 6, 7, 5, 3]",5,3,7,9,7,7,8
"[0, 1, 4, 2, 7, 3, 5, 6]",7,4,11,11,10,11,4
"[0, 1, 4, 2, 7, 3, 6, 5]",6,4,10,12,10,10,8
"[0, 1, 4, 2, 7, 5, 3, 6]",4,3,10,12,10,10,8
"[0, 1, 4, 2, 7, 5, 6, 3]",5,4,9,13,10,9,8
"[0, 1, 4, 2, 7, 6, 3, 5]",5,2,9,9,7,9,3
"[0, 1, 4, 2, 7, 6, 5, 3]",6,3,8,10,7,8,8
"[0, 1, 4, 3, 2, 5, 6, 7]",3,3,11,9,9,11,6
"[0, 1, 4, 3, 2, 5, 7, 6]",4,3,10,10,9,10,3
"[0, 1, 4, 3, 2, 6, 5, 7]",4,3,10,12,12,10,16
"[0, 1, 4, 3, 2, 6, 7, 5]",5,3,9,13,12,9,9
"[0, 1, 4, 3, 2, 7, 5, 6]",5,3,11,13,13,11,4
"[0, 1, 4, 3, 2, 7, 6, 5]",4,3,10,14,13,10,7
"[0, 1, 4, 3, 5, 2, 6, 7]",4,3,12,10,9,12,3
"[0, 1, 4, 3, 5, 2, 7, 6]",5,3,11,11,9,11,3
"[0, 1, 4, 3, 5, 6, 2, 7]",3,2,9,13,13,9,2
"[0, 1, 4, 3, 5, 6, 7, 2]",4,3,8,14,13,8,7
"[0, 1, 4, 3, 5, 7, 2, 6]",4,3,10,14,13,10,3
"[0, 1, 4, 3, 5, 7, 6, 2]",5,4,9,15,13,9,8
"[0, 1, 4, 3, 6, 2, 5, 7]",5,3,11,13,12,11,8
"[0, 1, 4, 3, 6, 2, 7, 5]",4,3,10,14,12,10,9
"[0, 1, 4, 3, 6, 5, 2, 7]",2,2,10,14,13,10,2
"[0, 1, 4, 3, 6, 5, 7, 2]",3,3,9,15,13,9,7
"[0, 1, 4, 3, 6, 7, 2, 5]",3,2,9,11,10,9,2
"[0, 1, 4, 3, 6, 7, 5, 2]",4,3,8,12,10,8,8
"[0, 1, 4, 3, 7, 2, 5, 6]",6,3,12,14,13,12,3
"[0, 1, 4, 3, 7, 2, 6, 5]",5,3,11,15,13,11,3
"[0, 1, 4, 3, 7, 5, 2, 6]",3,3,11,15,13,11,7
"[0, 1, 4, 3, 7, 5, 6, 2]",4,4,10,16,13,10,18
"[0, 1, 4, 3, 7, 6, 2, 5]",4,2,10,12,10,10,3
"[0, 1, 4, 3, 7, 6, 5, 2]",5,3,9,13,10,9,8
"[0, 1, 4, 5, 2, 3, 6, 7]",6,3,12,6,3,12,13
"[0, 1, 4, 5, 2, 3, 7, 6]",7,3,11,7,4,11,3
"[0, 1, 4, 5, 2, 6, 3, 7]",7,4,11,9,6,11,8
"[0, 1, 4, 5, 2, 6, 7, 3]",6,3,10,10,7,10,9
"[0, 1, 4, 5, 2, 7, 3, 6]",6,3,12,10,7,12,10
"[0, 1, 4, 5, 2, 7, 6, 3]",5,3,11,11,8,11,8
"[0, 1, 4, 5, 3, 2, 6, 7]",7,3,13,7,4,13,3
"[0, 1, 4, 5, 3, 2, 7, 6]",8,3,12,8,4,12,3
"[0, 1, 4, 5, 3, 6, 2, 7]",6,3,10,10,7,10,3
"[0, 1, 4, 5, 3, 6, 7, 2]",7,3,9,11,8,9,9
"[0, 1, 4, 5, 3, 7, 2, 6]",5,3,11,11,7,11,9
"[0, 1, 4, 5, 3, 7, 6, 2]",6,3,10,12,8,10,9
"[0, 1, 4, 5, 6, 2, 3, 7]",6,3,12,10,7,12,8
"[0, 1, 4, 5, 6, 2, 7, 3]",5,3,11,11,7,11,9
"[0, 1, 4, 5, 6, 3, 2, 7]",5,3,11,11,8,11,8
"[0, 1, 4, 5, 6, 3, 7, 2]",6,3,10,12,8,10,10
"[0, 1, 4, 5, 6, 7, 2, 3]",4,2,10,8,4,10,2
"[0, 1, 4, 5, 6, 7, 3, 2]",5,2,9,9,5,9,2
"[0, 1, 4, 5, 7, 2, 3, 6]",7,3,13,11,8,13,3
"[0, 1, 4, 5, 7, 2, 6, 3]",6,3,12,12,8,12,3
"[0, 1, 4, 5, 7, 3, 2, 6]",6,3,12,12,8,12,4
"[0, 1, 4, 5, 7, 3, 6, 2]",7,4,11,13,8,11,8
"[0, 1, 4, 5, 7, 6, 2, 3]",5,2,11,9,5,11,2
"[0, 1, 4, 5, 7, 6, 3, 2]",6,2,10,10,5,10,2
"[0, 1, 4, 6, 2, 3, 5, 7]",7,4,11,9,6,11,10
"[0, 1, 4, 6, 2, 3, 7, 5]",6,3,10,10,7,10,9
"[0, 1, 4, 6, 2, 5, 3, 7]",4,3,10,12,9,10,16
"[0, 1, 4, 6, 2, 5, 7, 3]",5,3,9,13,10,9,9
"[0, 1, 4, 6, 2, 7, 3, 5]",5,3,11,13,10,11,4
"[0, 1, 4, 6, 2, 7, 5, 3]",6,3,10,14,11,10,16
"[0, 1, 4, 6, 3, 2, 5, 7]",6,4,12,10,7,12,9
"[0, 1, 4, 6, 3, 2, 7, 5]",7,3,11,11,7,11,9
"[0, 1, 4, 6, 3, 5, 2, 7]",5,3,9,13,10,9,5
"[0, 1, 4, 6, 3, 5, 7, 2]",6,3,8,14,11,8,8
"[0, 1, 4, 6, 3, 7, 2, 5]",6,3,10,14,10,10,9
"[0, 1, 4, 6, 3, 7, 5, 2]",7,3,9,15,11,9,10
"[0, 1, 4, 6, 5, 2, 3, 7]",5,3,11,13,10,11,4
"[0, 1, 4, 6, 5, 2, 7, 3]",6,3,10,14,10,10,8
"[0, 1, 4, 6, 5, 3, 2, 7]",6,4,10,14,11,10,8
"[0, 1, 4, 6, 5, 3, 7, 2]",7,4,9,15,11,9,5
"[0, 1, 4, 6, 5, 7, 2, 3]",5,3,9,11,7,9,3
"[0, 1, 4, 6, 5, 7, 3, 2]",6,3,8,12,8,8,3
"[0, 1, 4, 6, 7, 2, 3, 5]",6,3,12,14,11,12,4
"[0, 1, 4, 6, 7, 2, 5, 3]",7,3,11,15,11,11,10
"[0, 1, 4, 6, 7, 3, 2, 5]",5,3,11,15,11,11,3
"[0, 1, 4, 6, 7, 3, 5, 2]",6,4,10,16,11,10,16
"[0, 1, 4, 6, 7, 5, 2, 3]",4,3,10,12,8,10,7
"[0, 1, 4, 6, 7, 5, 3, 2]",5,3,9,13,8,9,8
"[0, 1, 4, 7, 2, 3, 5, 6]",6,3,10,10,7,10,10
"[0, 1, 4, 7, 2, 3, 6, 5]",5,3,9,11,8,9,8
"[0, 1, 4, 7, 2, 5, 3, 6]",5,3,9,13,9,9,4
"[0, 1, 4, 7, 2, 5, 6, 3]",4,3,8,14,10,8,7
"[0, 1, 4, 7, 2, 6, 3, 5]",6,3,10,14,10,10,16
"[0, 1, 4, 7, 2, 6, 5, 3]",5,3,9,15,11,9,4
"[0, 1, 4, 7, 3, 2, 5, 6]",7,3,11,11,8,11,3
"[0, 1, 4, 7, 3, 2, 6, 5]",6,3,10,12,8,10,9
